# first row has temperatures; subsequent rows have CO cooling rate as a function of effective column density in cm^-2 (km/s)^-1 given as the first entry - from Omukai 2010
nan    10 20 30 50 80 100 300 600 1000 1500 2000
14.0 0.439 0.409 0.392 0.370 0.361 0.357 0.385 0.437 0.428 0.354 0.322
14.5 0.436 0.407 0.391 0.368 0.359 0.356 0.385 0.437 0.427 0.354 0.322
15.0 0.428 0.401 0.385 0.364 0.356 0.352 0.383 0.436 0.427 0.352 0.320
15.5 0.416 0.388 0.373 0.353 0.347 0.345 0.380 0.434 0.425 0.349 0.316
16.0 0.416 0.378 0.360 0.338 0.332 0.330 0.371 0.429 0.421 0.341 0.307
16.5 0.450 0.396 0.367 0.334 0.322 0.317 0.355 0.419 0.414 0.329 0.292
17.0 0.492 0.435 0.403 0.362 0.339 0.329 0.343 0.406 0.401 0.317 0.276
17.5 0.529 0.473 0.441 0.404 0.381 0.370 0.362 0.410 0.392 0.316 0.272
18.0 0.555 0.503 0.473 0.440 0.423 0.414 0.418 0.446 0.404 0.335 0.289
18.5 0.582 0.528 0.499 0.469 0.457 0.451 0.470 0.487 0.432 0.364 0.310
19.0 0.596 0.546 0.519 0.492 0.483 0.479 0.510 0.516 0.448 0.372 0.313
